Word,Meaning
accent,අවධාරණය | උච්චාරණ ලකුණ | උච්චාරණ විධිය | උද්දීපනය | උදාත්තය | දේශීය උච්චාරණ විධිය | ප්‍රාසය | බර කරනවා | බර කොට කියනවා | බර කොට දක්වනවා | ස්වරණය | ස්වරාඝාතය | හජනගා කියනවා
accented,උච්චාරණය කළ | ප්‍රස්ත
accentuate,ස්වරයන්ගේ උච්චාරණය දක්වනවා
accentuation,අවධාරණය | අවධාරණයෙන් කීම | උද්දීපනය | උදාත්තකරණය
accept,ඒත්තුගන්නවා | කර පින්නා ගන්නවා | ප්‍රතිග්‍රහණය කරනවා | පිළිගන්නවා | බාර ගන්නවා | බාරගන්නවා | භාර ගන්නවා
acceptability,ප්‍රතිග්‍රහණක්ෂමතාව | ප්‍රතිගෘහ්‍යතාව | පිළිගතහැකි බව
acceptable,පරිග්‍රාහක | ප්‍රාමාණික | ප්‍රිය | පිළිගත හැකි | පිළිගතමනා | භාර ගත හැකි
acceptance,පරිග්‍රහ | පරිග්‍රහණය | පරිග්‍රහය | ප්‍රතිග්‍රහණය | ප්‍රතිශ්‍රවණය | පිළිගැන්ම | පිළිගැනීම | පිළිගැනුම | පිළිණ | පොරොන්දු පත්‍රය | බාරගැනීම | භාර ගැනීම | ලැබීම | වැටහීම | සතුට | සම්මති | සම්මුතිය
acceptation,පිළිගැනීම | වචයක පිළිගත් අර්ථය | වචයක රූ අර්ථය
accepted,ප්‍රතිගෘහිත | පිළිගත් | බාරගත් | සම්මති
acceptilatio,ඇක්සෙප්ටිලාටියෝව | ණයෙන් නිදහස් වීම
acceptor,ප්‍රතිග්‍රාහක | ප්‍රතිග්‍රාහකය | ප්‍රතිග්‍රාහකයා | පිළිගන්නා | බාරගන්නා
access,කිට්ටුවීම | පරිශීලනය | ප්‍රවේශ වීමේ බලය | ප්‍රවේශ වීමේ මාර්ගය | ප්‍රවේශය | පිවිසුම | ලාභය | සම්ප්‍රවේශය
accessary,අවසහායක | උපකාරක | උපකාරකය | උපකාරී හේතුව | හවුල්කාරයා
accessibility,සුළභ වීම | ළඟාවිය හැකි බව
accessible,කිට්ටුවිය හැකි | ගම්‍ය | ප්‍රවේශ්‍ය | පිවිසිය හැකි | බලා ගත හැකි | සුගම | සුලභ | ළඟා විය හැකි
accessio,ආබද්ධය
accession,අනුබැඳුම | ආබද්ධය | පරිග්‍රහණය | ප්‍රවේශනය | ප්‍රවේශය | ප්‍රාප්තිය | රජ්‍යයට පැමිණීම | ලාභය | ළඟා වීම
accessorial,උදව්කාර | සහායක
accessories,අතිරේක | උපකාරක | උපාංග
accessory,අතිරේක | අනුබැඳි | අනුබැඳිය | අපසහායක | අමතර | අමතරය | අවසහායක | ආබද්ධ | උපකරණය | උපකාරක | උපකාරී වූ | උපාංග | උපාංගය | වරදට උදව්කාරයා | වැඩිපුර | සම්බන්ධයක් ඇති | සහකාරක | සහායක
accidence,නිපාතනවිධිය | නෛරුක්තිකවිධි | වරනැගීම
accident,අත්වැරැද්ද | අනතුර | අහම්බය | අහඹුව | ආකස්මිකත්වය | ආපාතය | උපලක්ෂණය | හදිසි අනතුර | හදිසිය
accident-prone,අනතුරුවලට බඳුන් විය හැකි | අනතුරුවලට භාජනය විය හැකි
accidental,අහම්බ | අහම්බෙන් සිදු වූ | අහම්ඹ | අහඹු | ආකස්මික | ආපාත | බලාපොරොත්තු නොවූ
accidentalism,ආකස්මිකවාදය
accidentally,අහම්බෙන් | බලාපොරොත්තු නොවූ ලෙස | හදිස්සියෙන් | හදිසියෙන්
accissibility,ගම්‍යතාව
accission,රාජ්‍ය ප්‍රාප්තිය
acclaim,ගෞරවයෙන් පිළිගන්නවා | ප්‍රීතිඝෝෂා කරනවා | ප්‍රීතිඝෝෂා පවත්වනවා | ප්‍රීතියෙන් පිළිගන්නවා
acclamation,අත්පොළසන් දීම | ප්‍රශංසාව | ප්‍රස්තවනය | ප්‍රීතිඝෝෂාව
acclimatation,අනුකූලනය
acclimate,දේශගුණයට පුරුදු කරනවා
acclimatise,දේශගුණයට හුරු වෙනවා | දේශයට හුරු වෙනවා
acclimatization,අනුකූලනය | අවස්ථානුකූලනය | දේශගුණයට පුරුදු වීම | දේශානුකූලනය | පරිසරයට පුරුදු වීම | හැඩගැස්ම
acclimatize,පරිසරයට පුරුදු කරනවා
acclivity,කඳු බෑවුම | නැගුම
accolade,අත්‍යන්ත වර්ණනාව | ගෞරවයක් පිරිනැමීම
accommodate,ඉඩ දෙනවා | ඉඩ සලසනවා | උදව් වෙනවා | උපකාර කරනවා | ගැළපෙන සේ යොදනවා | නවාතැන් දෙනවා | ප්‍රතියෝජනය කරනවා | සපයා දෙනවා | සලසනවා | සැලසෙනවා
accommodating,අවස්ථානුරූප වූ | වුවමනා ඉටු කරන | සහනයක් දෙන
accommodation,අනුග්‍රහය | අවසාරණය | ඉඩ සැලසීම | ඉඩකඩ | උපකාරය | උපයෝගි කිරීම | පතියෝජනය | ප්‍රතියෝජනය | පිළිසරණ | මුදලක් ණයට දීම | ව්‍යවස්ථාපනය | වාසස්ථානය | විසුම් ඉඩ | හැඩ ගැසීම
accommodative,අනුග්‍රාහක | ඉඩ සලසන | උපකාරක
accomodation,ප්‍රතියෝජනය
accompaniment,සමග පවත්නා දේ | සහායනය
accompanist,වාදකයා
accompany,ඇරලනවා | එකට යනවා | එක්ක එනවා | එක්ක යනවා | එක්ව යනවා | කැටුව යනවා | පවතිනවා
accompanying,අනුගාමී | සහගත | සහචර
accomplice,අපරාධ සහායක | අපරාධසහායක | අපසහායක | අපසහායකයා | වරදෙහි හවුල් කාරයා | සහාපරාධියා | හවුල්කාරයා
accomplish,ඉටු කරනවා | ඉටුකරනවා | ඉෂ්ට කරනවා | සම්පූර්ණ කරනවා | සලසනවා | සාදා දෙනවා | සිද්ධ කරනවා | සිදු කරනවා
accomplished,ඉටු කළ | ඉෂ්ට වූ | නිපුණ | ප්‍රවීණ | විශාරද | සිද්ධ කළ | හසළ
accomplishment,අර්ථසිද්ධිය | ඉටුකිරීම | කෞශල්‍යය | නිපුණත්වය | සම්ප්‍රසාධනය | සම්පාදනය | සමාප්තිය | සිද්ධිය
accord,අන්‍යෙන්‍ය ගැළපීම | අනුමතිය | අනුමතිය දෙනවා | එකඟ වීම | එකඟ වෙනවා | එකඟකම | එකඟත්වය | එකඟවීම | ඒකමතිය | ඒකමිතිය | කැමැත්ත | ගැළපෙනවා | ගිවිස ගන්නවා | ගිවිසුම | දෙනවා | ප්‍රදානය කරනවා | යොදනවා | සම්මුතිය | සම්මුතියට එනවා | හුරුකම
